,TTPs
41,"'T1057', 'T1566.002', 'T1553.002', 'T1566.001', 'T1547.001', 'T1027', 'T1053.005', 'T1218.007', 'T1105', 'T1059.005', 'T1140', 'T1204.001', 'T1204.002', 'T1059.007', 'T1059.001', 'T1555.003'"
42,"'T1071.004', 'T1221', 'T1070.004', 'T1071.001', 'T1547.004', 'T1059.003', 'T1573.002', 'T1518.001', 'T1543.003', 'T1547.001', 'T1204.002', 'T1140', 'T1518', 'T1020', 'T1574.002', 'T1027.003', 'T1078.003', 'T1105', 'T1055.001', 'T1049', 'T1564.001', 'T1132.001', 'T1057', 'T1091', 'T1016', 'T1573', 'T1505.003', 'T1083', 'T1046', 'T1033', 'T1135', 'T1203', 'T1052.001', 'T1027', 'T1119', 'T1566.001', 'T1082', 'T1036.005', 'T1106'"
43,"'T1033', 'T1587.002', 'T1204.002', 'T1070.004', 'T1566.001', 'T1059.003', 'T1548.002', 'T1082', 'T1574.002', 'T1005', 'T1204.001', 'T1197', 'T1059.005', 'T1553.002', 'T1055.012', 'T1547.001', 'T1189', 'T1036.005', 'T1518.001', 'T1027.001', 'T1027.005', 'T1119', 'T1105', 'T1555.003', 'T1027', 'T1027.002', 'T1566.002', 'T1132.001', 'T1074.001', 'T1053.005', 'T1059.001', 'T1203', 'T1112', 'T1559.002', 'T1102.001', 'T1083', 'T1560', 'T1021.001', 'T1588.002'"
44,"'T1065', 'T1003.004', 'T1059.005', 'T1560.001', 'T1555.003', 'T1204.002', 'T1552.001', 'T1566.002', 'T1040', 'T1132.001', 'T1071.001', 'T1059.001', 'T1204.001', 'T1566.001', 'T1203', 'T1573.001', 'T1027', 'T1546.003', 'T1048.003', 'T1105', 'T1547.001', 'T1003.005', 'T1003.001', 'T1588.002', 'T1555', 'T1053.005', 'T1078', 'T1068', 'T1110.003', 'T1078.004', 'T1571', 'T1552.006'"
45,"'T1036.004', 'T1213', 'T1053.005', 'T1110.002', 'T1547.001', 'T1059.007', 'T1059', 'T1572', 'T1566.003', 'T1087.002', 'T1569.002', 'T1566.001', 'T1562.001', 'T1555.003', 'T1059.001', 'T1048.003', 'T1027', 'T1560', 'T1095', 'T1046', 'T1070.004', 'T1074.002', 'T1059.003', 'T1573.002', 'T1047', 'T1005', 'T1078', 'T1018', 'T1102', 'T1560.003', 'T1068', 'T1119', 'T1588.002', 'T1555', 'T1134', 'T1204.002', 'T1553.002', 'T1003.003', 'T1021.001', 'T1003.001'"
46,"'T1204.002', 'T1027.002', 'T1070.004', 'T1124', 'T1518.001', 'T1203', 'T1566.001'"
47,"'T1047', 'T1204.002', 'T1140', 'T1566.001', 'T1218.004', 'T1005', 'T1039', 'T1210', 'T1036.003', 'T1190', 'T1087.002', 'T1568.001', 'T1074.002', 'T1027', 'T1046', 'T1036.005', 'T1090.002', 'T1049', 'T1036', 'T1018', 'T1003.002', 'T1560', 'T1574.002', 'T1070.004', 'T1059.003', 'T1199', 'T1003.004', 'T1083', 'T1105', 'T1056.001', 'T1021.004', 'T1053.005', 'T1553.002', 'T1583.001', 'T1078', 'T1119', 'T1021.001', 'T1016', 'T1574.001', 'T1059.001', 'T1560.001', 'T1070.003', 'T1055.012', 'T1003.003', 'T1106', 'T1074.001', 'T1588.002'"
48,"'T1518.001', 'T1053.005', 'T1137.006', 'T1547.001', 'T1078.002', 'T1046', 'T1036.004', 'T1566.001', 'T1204.002', 'T1016', 'T1047', 'T1018', 'T1574.002', 'T1036.005'"
49,"'T1082', 'T1204.001', 'T1518.001', 'T1598.002', 'T1074.001', 'T1071.001', 'T1559.002', 'T1204.002', 'T1124', 'T1566.002', 'T1059.001', 'T1033', 'T1016', 'T1059.007', 'T1598.003', 'T1218.005', 'T1203', 'T1105', 'T1518', 'T1547.001', 'T1119', 'T1566.001', 'T1059.005', 'T1027', 'T1057', 'T1083', 'T1574.002', 'T1036.005', 'T1020'"
50,"'T1036.002', 'T1036.005', 'T1583.001', 'T1566.001', 'T1204.002', 'T1588.002'"
