,TTPs
336,"'T1071.001', 'T1055', 'T1033', 'T1027.002', 'T1497.001', 'T1140', 'T1105', 'T1074.001', 'T1082', 'T1007', 'T1053.005', 'T1543.003', 'T1518', 'T1055.001', 'T1016', 'T1041'"
337,"'T1005', 'T1071.001', 'T1082', 'T1083', 'T1105', 'T1059.003'"
338,"'T1027.001', 'T1105', 'T1204.002', 'T1204.001', 'T1555.003', 'T1102.001', 'T1057', 'T1059.005', 'T1218.007', 'T1566.002', 'T1566.001', 'T1574.002'"
339,"'T1057', 'T1083', 'T1574.002', 'T1055.012', 'T1546.015', 'T1543.003', 'T1071.001', 'T1547.001', 'T1560.002', 'T1569.002', 'T1140', 'T1573.001', 'T1070.004', 'T1007'"
340,"'T1574.001', 'T1071.004', 'T1573.001', 'T1140', 'T1056.001', 'T1026', 'T1071.001', 'T1036.005', 'T1574.002', 'T1127.001', 'T1027', 'T1112', 'T1106', 'T1547.001', 'T1057', 'T1095', 'T1036.004', 'T1113', 'T1049', 'T1564.001', 'T1083', 'T1543.003', 'T1012', 'T1059.003', 'T1094', 'T1102.001', 'T1105', 'T1497.001', 'T1135'"
341,"'T1082', 'T1094', 'T1071.001', 'T1543.003', 'T1027', 'T1095', 'T1033', 'T1547.009', 'T1547.001', 'T1560.003', 'T1012', 'T1218.002', 'T1016', 'T1070.004'"
342,"'T1137.006', 'T1106', 'T1090', 'T1005', 'T1543.003', 'T1132.001', 'T1140', 'T1218.011', 'T1566.001', 'T1497.003', 'T1027.002', 'T1036', 'T1204.002', 'T1124', 'T1041', 'T1082', 'T1112', 'T1016', 'T1012', 'T1547.001', 'T1573.001', 'T1027', 'T1057', 'T1036.005', 'T1497', 'T1027.001', 'T1568', 'T1083', 'T1105', 'T1059.003', 'T1095', 'T1070.004', 'T1071.001', 'T1059.005'"
343,"'T1008', 'T1016', 'T1087.001', 'T1070.004', 'T1547.001', 'T1070', 'T1547.009', 'T1106', 'T1033', 'T1027.002', 'T1136.001', 'T1059.003', 'T1041', 'T1071.001', 'T1082', 'T1132.001', 'T1614.001', 'T1036.005', 'T1105', 'T1007'"
344,"'T1547.009', 'T1027.002', 'T1071.001', 'T1105', 'T1573.001', 'T1546.003', 'T1070.004', 'T1078', 'T1560.002', 'T1550.003', 'T1547.001', 'T1059.003', 'T1059.001', 'T1114.002', 'T1132.001'"
345,'T1132.001'
346,"'T1008', 'T1560.001', 'T1120', 'T1091', 'T1057', 'T1074.001', 'T1113', 'T1041', 'T1047', 'T1518', 'T1071.001', 'T1027', 'T1547.001', 'T1056.001', 'T1518.001', 'T1070.004', 'T1083', 'T1570', 'T1082'"
347,"'T1055.012', 'T1057', 'T1074.001', 'T1218.007', 'T1010', 'T1573.001', 'T1071', 'T1134', 'T1572', 'T1090.001', 'T1049', 'T1055.001', 'T1560.003', 'T1001.002', 'T1078', 'T1094', 'T1021.002', 'T1543.003', 'T1016', 'T1053.005', 'T1056.001', 'T1087.001'"
348,"'T1036.004', 'T1547.001'"
349,"'T1046', 'T1065', 'T1053', 'T1003.002', 'T1055.001', 'T1052.001', 'T1016', 'T1048.003', 'T1094', 'T1556.002', 'T1018', 'T1087.001', 'T1083', 'T1032', 'T1057', 'T1071.001', 'T1036.005', 'T1027', 'T1033', 'T1070.004', 'T1562.004', 'T1056.001', 'T1071.004', 'T1071.003', 'T1025', 'T1068', 'T1518.001', 'T1105', 'T1082', 'T1095', 'T1049'"
350,"'T1547.001', 'T1018', 'T1111', 'T1016', 'T1049', 'T1057', 'T1007', 'T1056.001', 'T1087.002', 'T1573.002', 'T1055.001'"
351,"'T1071.001', 'T1025', 'T1056.001', 'T1573.001', 'T1082', 'T1105', 'T1106', 'T1115', 'T1016', 'T1112', 'T1033', 'T1564.001'"
352,"'T1059.001', 'T1059.005', 'T1016', 'T1102.001', 'T1071.001', 'T1053.003', 'T1486', 'T1203', 'T1046', 'T1105', 'T1110.001', 'T1059.007', 'T1218.010', 'T1547.001', 'T1485', 'T1218.005'"
353,"'T1005', 'T1083', 'T1056.001', 'T1547.001', 'T1119', 'T1074.001', 'T1112', 'T1025', 'T1020', 'T1113'"
354,"'T1071.001', 'T1573.001', 'T1012', 'T1016', 'T1518.001', 'T1027', 'T1007', 'T1069.001', 'T1087.001', 'T1049', 'T1057', 'T1124', 'T1083', 'T1070.004', 'T1553.002', 'T1055.011', 'T1560', 'T1082', 'T1033', 'T1560.002', 'T1018'"
355,"'T1106', 'T1020', 'T1071.003', 'T1016', 'T1001.002', 'T1140', 'T1082', 'T1105', 'T1005', 'T1505.002', 'T1027', 'T1070.004', 'T1565.002', 'T1036.005', 'T1573.001', 'T1059.003', 'T1114.002', 'T1029', 'T1041', 'T1074.001', 'T1560', 'T1119'"
356,"'T1020', 'T1113', 'T1105', 'T1083', 'T1056.001', 'T1071.001', 'T1059.003'"
357,"'T1083', 'T1027.002', 'T1007', 'T1486', 'T1056.001', 'T1105', 'T1620', 'T1135', 'T1059.003', 'T1016', 'T1543.003', 'T1489', 'T1564.003', 'T1036.005', 'T1106', 'T1070.004', 'T1027', 'T1614.001', 'T1134', 'T1059.001', 'T1057', 'T1082', 'T1049'"
358,"'T1083', 'T1135', 'T1105', 'T1614.001', 'T1490', 'T1047', 'T1486', 'T1082', 'T1071.001'"
359,"'T1071', 'T1071.001', 'T1112', 'T1005', 'T1102.002', 'T1566.001', 'T1115', 'T1548.002', 'T1059.001', 'T1012', 'T1056.001', 'T1113', 'T1055.012', 'T1057', 'T1564.001', 'T1095', 'T1059.003', 'T1033', 'T1125', 'T1497.003', 'T1567.002', 'T1569.002', 'T1124', 'T1547.001', 'T1135', 'T1055', 'T1543.003', 'T1140', 'T1083', 'T1027', 'T1016', 'T1574.002', 'T1204.002', 'T1082'"
360,"'T1082', 'T1055.001', 'T1140', 'T1071.001', 'T1041', 'T1120', 'T1547.001', 'T1573.001', 'T1105', 'T1132.001', 'T1005', 'T1027.002', 'T1204.002', 'T1218.011'"
361,"'T1059.005', 'T1027', 'T1562.001', 'T1547.001', 'T1059.007', 'T1105', 'T1016', 'T1218.005', 'T1070.004', 'T1071.004', 'T1082', 'T1033'"
362,"'T1106', 'T1071.001', 'T1518.001', 'T1543.004', 'T1059.002', 'T1057', 'T1486', 'T1562.001', 'T1620', 'T1105', 'T1036.005', 'T1056.001', 'T1554', 'T1564.001', 'T1497.003', 'T1041', 'T1622', 'T1543.001'"
363,"'T1057', 'T1560.003', 'T1027', 'T1041', 'T1036', 'T1036.005', 'T1106', 'T1040', 'T1071.001', 'T1129', 'T1573.001', 'T1550', 'T1574.001', 'T1005', 'T1027.004', 'T1140', 'T1620', 'T1083', 'T1560.002', 'T1105', 'T1552.004'"
364,"'T1219', 'T1132.001', 'T1113', 'T1055.002', 'T1573.001', 'T1056.001', 'T1070.004', 'T1003', 'T1012', 'T1057', 'T1136.001', 'T1059.003', 'T1094', 'T1027', 'T1114.001', 'T1071.001', 'T1547.001', 'T1030', 'T1021.001'"
365,"'T1027', 'T1059.003', 'T1046', 'T1090', 'T1552.001', 'T1008', 'T1573.002', 'T1027.001'"
366,"'T1569.002', 'T1057', 'T1005', 'T1083', 'T1573.001', 'T1016', 'T1543.003', 'T1027', 'T1113', 'T1105', 'T1134', 'T1012', 'T1070.001', 'T1007', 'T1082', 'T1070.004', 'T1129', 'T1112', 'T1048'"
367,"'T1027', 'T1082', 'T1105', 'T1124', 'T1059.001', 'T1033', 'T1016'"
368,"'T1497.001', 'T1518.001', 'T1546.015', 'T1112', 'T1120', 'T1059.001', 'T1070.004', 'T1082', 'T1059.005'"
369,"'T1027', 'T1003', 'T1059.003'"
370,"'T1005', 'T1567.002', 'T1083', 'T1102.002', 'T1059.001', 'T1105', 'T1550.001', 'T1071.001'"
371,"'T1110', 'T1033', 'T1105', 'T1083', 'T1007', 'T1046', 'T1005', 'T1041', 'T1069.001', 'T1014', 'T1059.003', 'T1057', 'T1082', 'T1112', 'T1016'"
372,"'T1059.003', 'T1489', 'T1140', 'T1059.001', 'T1570', 'T1105', 'T1027', 'T1082', 'T1569.002', 'T1106', 'T1055.001', 'T1518.001', 'T1112', 'T1486', 'T1490', 'T1047', 'T1562.001'"
373,"'T1087.001', 'T1057', 'T1070.004', 'T1573.001', 'T1083', 'T1027', 'T1132.001', 'T1036.005', 'T1105', 'T1071.001', 'T1016', 'T1082', 'T1547.001', 'T1218.011', 'T1007', 'T1055.001', 'T1074.001', 'T1070.006', 'T1543.003'"
374,"'T1218.011', 'T1087.001', 'T1120', 'T1057', 'T1049', 'T1005', 'T1016', 'T1091', 'T1018', 'T1059.003', 'T1083'"
375,"'T1573.002', 'T1489', 'T1543.003', 'T1486', 'T1016', 'T1018', 'T1083', 'T1222.001', 'T1490', 'T1210', 'T1047', 'T1570', 'T1090.003', 'T1564.001', 'T1120', 'T1563.002'"
376,"'T1071.001', 'T1105', 'T1055.003', 'T1546.002', 'T1070.006', 'T1573.002', 'T1053.005', 'T1033', 'T1547.009', 'T1573.001', 'T1564.004', 'T1027', 'T1547.001', 'T1070.004', 'T1547.004', 'T1055', 'T1553.002'"
377,"'T1083', 'T1016', 'T1055', 'T1057', 'T1555.003', 'T1071.001', 'T1105', 'T1095', 'T1573.001', 'T1090', 'T1059.003', 'T1140', 'T1204.001'"
378,"'T1622', 'T1057', 'T1053.005', 'T1027.002', 'T1566.002', 'T1497.003', 'T1132.001', 'T1055.001', 'T1204.002', 'T1566.001', 'T1005', 'T1059.005', 'T1218.004', 'T1036', 'T1055.012', 'T1106', 'T1140', 'T1204.001', 'T1070.004', 'T1055.004', 'T1614', 'T1059.003', 'T1105', 'T1218.010', 'T1016', 'T1033', 'T1082', 'T1497.001', 'T1083', 'T1547.001', 'T1012', 'T1036.005', 'T1548.002', 'T1027', 'T1059.001', 'T1071.001'"
379,"'T1489', 'T1070.004', 'T1082', 'T1016', 'T1095', 'T1486', 'T1090.001', 'T1573.002'"
380,"'T1059.007', 'T1036.005', 'T1048', 'T1082', 'T1033', 'T1112', 'T1221', 'T1573', 'T1056', 'T1132.001', 'T1071.001', 'T1218.004', 'T1059.003', 'T1106', 'T1555.003', 'T1547.001', 'T1574.001', 'T1140', 'T1185', 'T1566.001', 'T1204.002', 'T1218.007', 'T1105', 'T1059.005', 'T1539', 'T1059.006', 'T1113'"
381,"'T1543.003', 'T1105', 'T1218.011', 'T1547.001'"
382,"'T1047', 'T1048.003', 'T1041', 'T1112', 'T1083', 'T1082', 'T1140', 'T1049', 'T1012', 'T1113', 'T1005', 'T1105', 'T1059.003', 'T1057', 'T1573.001', 'T1102.001', 'T1070.004', 'T1008', 'T1132.001', 'T1071.001', 'T1059.001', 'T1102', 'T1518', 'T1016'"
383,"'T1204.002', 'T1094', 'T1543.003', 'T1070.004', 'T1065', 'T1105', 'T1059.005', 'T1140', 'T1082', 'T1090', 'T1562.004', 'T1059.003', 'T1571', 'T1027', 'T1112', 'T1083'"
384,"'T1573.001', 'T1071.001', 'T1083', 'T1070.006'"
385,"'T1562.001', 'T1204.002', 'T1176', 'T1027', 'T1518', 'T1222.002', 'T1059.004', 'T1105', 'T1059.007', 'T1059.006', 'T1543.004', 'T1057', 'T1082', 'T1543.001', 'T1071.001', 'T1036.005', 'T1140', 'T1056.002', 'T1189', 'T1564', 'T1048', 'T1098.004', 'T1059.002'"
386,"'T1105', 'T1057', 'T1497.001', 'T1001.001', 'T1497.003'"
387,"'T1082', 'T1070.006', 'T1033', 'T1218.010', 'T1518.001', 'T1041', 'T1102.003', 'T1547.001', 'T1047', 'T1105', 'T1539', 'T1218.011', 'T1112', 'T1070'"
388,"'T1059.003', 'T1082', 'T1047'"
389,"'T1071.001', 'T1102', 'T1564.002', 'T1090.004', 'T1105', 'T1136.001', 'T1113', 'T1573.001', 'T1056.001', 'T1204.001', 'T1087.001', 'T1112', 'T1033', 'T1132.001', 'T1027.009', 'T1098', 'T1041', 'T1547.001', 'T1082', 'T1598.003', 'T1059.001'"
390,"'T1218.010', 'T1140', 'T1070.004', 'T1071.004', 'T1071.001', 'T1012', 'T1112', 'T1132.001', 'T1001.001'"
391,"'T1027', 'T1059.005', 'T1132.001', 'T1059.003', 'T1036.005', 'T1070.004', 'T1016', 'T1112', 'T1140', 'T1033', 'T1012', 'T1059.001', 'T1008', 'T1071.001', 'T1071.004', 'T1053.005'"
392,"'T1082', 'T1008', 'T1105', 'T1070.004', 'T1070.006', 'T1059.003', 'T1547.001', 'T1027.001', 'T1057', 'T1560', 'T1036.005', 'T1001.003', 'T1083', 'T1573.001', 'T1124', 'T1018'"
393,"'T1082', 'T1069.001', 'T1016', 'T1033', 'T1071.001', 'T1573.001'"
394,"'T1070.004', 'T1552.001', 'T1071.001'"
395,"'T1571', 'T1027', 'T1106', 'T1105', 'T1012', 'T1124', 'T1573.001', 'T1140', 'T1497.003', 'T1001.001'"
396,"'T1027.002', 'T1014'"
397,"'T1082', 'T1562.001', 'T1041', 'T1070', 'T1218.005', 'T1497', 'T1095', 'T1564.003', 'T1571', 'T1565.002', 'T1547.001', 'T1056.001', 'T1106', 'T1113', 'T1033', 'T1574.002', 'T1573.002', 'T1573.001', 'T1119', 'T1518.001', 'T1036.005', 'T1115', 'T1553.002', 'T1102.003', 'T1112', 'T1056.002', 'T1566.001', 'T1055.001', 'T1070.004', 'T1027.002', 'T1059.003', 'T1129', 'T1102.001', 'T1057', 'T1124', 'T1059.007', 'T1105', 'T1518', 'T1218.007', 'T1027', 'T1140', 'T1059.005', 'T1204.002', 'T1010', 'T1071.001', 'T1083'"
398,"'T1113', 'T1555.003', 'T1016', 'T1547.001', 'T1497.001', 'T1070.004', 'T1055.003', 'T1056.001', 'T1573.002', 'T1027.002', 'T1027', 'T1074.001', 'T1003', 'T1057', 'T1049', 'T1083', 'T1059.003', 'T1010', 'T1082', 'T1033', 'T1071.001', 'T1105'"
399,"'T1573.001', 'T1553.002', 'T1055.012', 'T1123', 'T1059', 'T1059.005', 'T1106', 'T1566.001', 'T1016', 'T1204.002', 'T1041', 'T1140', 'T1095', 'T1125', 'T1059.006', 'T1105', 'T1027.003', 'T1059.001', 'T1059.003', 'T1082', 'T1070.004', 'T1083', 'T1113', 'T1005', 'T1120', 'T1056.001'"
400,"'T1573.001', 'T1518.001', 'T1129', 'T1082', 'T1055.001', 'T1095', 'T1553.002', 'T1112', 'T1008', 'T1140', 'T1036.005', 'T1027', 'T1016', 'T1057', 'T1543.003', 'T1134.002', 'T1548.002', 'T1134.004', 'T1106', 'T1547.012', 'T1105', 'T1124'"
401,"'T1601.001', 'T1556.004', 'T1205'"
402,"'T1020', 'T1547.001', 'T1083', 'T1027'"
403,"'T1048.003', 'T1105', 'T1070.004', 'T1059.007', 'T1204.002', 'T1547.001', 'T1082', 'T1059.003', 'T1547.009', 'T1059.001', 'T1071.001', 'T1036.005', 'T1112', 'T1083', 'T1027', 'T1140', 'T1033', 'T1113', 'T1041', 'T1016', 'T1543.003', 'T1566.001', 'T1560', 'T1056.001', 'T1546.015', 'T1057', 'T1555.003', 'T1106', 'T1218.011', 'T1573.001', 'T1134.002', 'T1005', 'T1548.002', 'T1027.002', 'T1115', 'T1132.001', 'T1049', 'T1036.004', 'T1134.004'"
404,"'T1082', 'T1560.003', 'T1574.002', 'T1123', 'T1124', 'T1119', 'T1016', 'T1113', 'T1120', 'T1546.010', 'T1033', 'T1125', 'T1518.001'"
405,"'T1071.001', 'T1205', 'T1095', 'T1027', 'T1573.001', 'T1105', 'T1014', 'T1140'"
406,"'T1113', 'T1106', 'T1059', 'T1095', 'T1573', 'T1012', 'T1218.011', 'T1070.004', 'T1082', 'T1105', 'T1056.001', 'T1573.001', 'T1055', 'T1057', 'T1112', 'T1070.001', 'T1140', 'T1574.002', 'T1132.001', 'T1129', 'T1543.003', 'T1569.002', 'T1547.001', 'T1568.001'"
407,"'T1134.001', 'T1053.005', 'T1078.002', 'T1012', 'T1027', 'T1070.006', 'T1021.002', 'T1486', 'T1529', 'T1570', 'T1548.002', 'T1543.003', 'T1112', 'T1036.004', 'T1016', 'T1082', 'T1561.002', 'T1485', 'T1018', 'T1140', 'T1105', 'T1071.001', 'T1569.002', 'T1124'"
408,'T1556.001'
409,"'T1071.004', 'T1033', 'T1059.003', 'T1204.002', 'T1041', 'T1105', 'T1132.001', 'T1005', 'T1547.001'"
410,"'T1059.003', 'T1518.001', 'T1082', 'T1047', 'T1105', 'T1547.001', 'T1059.001'"
411,"'T1560.001', 'T1083', 'T1048.003'"
412,"'T1016', 'T1132.001', 'T1218.011', 'T1071.001', 'T1115', 'T1053.005', 'T1059.003', 'T1027', 'T1105', 'T1037.001', 'T1543.003', 'T1082', 'T1546.015', 'T1055', 'T1113', 'T1070.004', 'T1057', 'T1008', 'T1068', 'T1547.001'"
413,"'T1074.001', 'T1052.001', 'T1547.001', 'T1560.003', 'T1083', 'T1547.009'"
414,"'T1497.001', 'T1027', 'T1113', 'T1124', 'T1102.002', 'T1071.001', 'T1083', 'T1070.004', 'T1082', 'T1033', 'T1555.003', 'T1560', 'T1560.003', 'T1539', 'T1518.001', 'T1041', 'T1016', 'T1105', 'T1057'"
415,"'T1059.003', 'T1105', 'T1555.003', 'T1555.004', 'T1555', 'T1083', 'T1071.001', 'T1114.001', 'T1204.002', 'T1140', 'T1059.001', 'T1082', 'T1037.001', 'T1074.001', 'T1005', 'T1041', 'T1518', 'T1056.001', 'T1036.005', 'T1027'"
416,"'T1518.001', 'T1071.001', 'T1132.001', 'T1057', 'T1083', 'T1105', 'T1082', 'T1573.001', 'T1016', 'T1518'"
417,"'T1132.001', 'T1070.004', 'T1005', 'T1547.001', 'T1564.001', 'T1083', 'T1071.001', 'T1016', 'T1036.005', 'T1059.003', 'T1105', 'T1033', 'T1057', 'T1082', 'T1007'"
418,"'T1071.001', 'T1105', 'T1119', 'T1518.001', 'T1082', 'T1083', 'T1123', 'T1564.001', 'T1547.009', 'T1113', 'T1560.001', 'T1059.003', 'T1027', 'T1056.001', 'T1047', 'T1033'"
419,"'T1105', 'T1082', 'T1566.002', 'T1574.002', 'T1140', 'T1027', 'T1204.002', 'T1204.001', 'T1059.005', 'T1566.001'"
420,"'T1083', 'T1105', 'T1055.001', 'T1095'"
421,"'T1105', 'T1070.004', 'T1547.001', 'T1059.005', 'T1071.001'"
422,"'T1112', 'T1115', 'T1010', 'T1036.004', 'T1074.001', 'T1543.003', 'T1056.001', 'T1016', 'T1113'"
423,"'T1105', 'T1561.001', 'T1070.004', 'T1047', 'T1518.001', 'T1485', 'T1082', 'T1124', 'T1497', 'T1012', 'T1059.005', 'T1027', 'T1561.002', 'T1055', 'T1113'"
424,"'T1132.001', 'T1071.001', 'T1082', 'T1140', 'T1497.001', 'T1047', 'T1105', 'T1059.003', 'T1070.004', 'T1560.001', 'T1124', 'T1059.005', 'T1027.002', 'T1053.005', 'T1041', 'T1027', 'T1560.003', 'T1074.001', 'T1030'"
425,"'T1082', 'T1573.001', 'T1083', 'T1059.003', 'T1057', 'T1071.001'"
426,"'T1518.001', 'T1082', 'T1027', 'T1102.002', 'T1047', 'T1033', 'T1113', 'T1218.010', 'T1059.003', 'T1547.009', 'T1140', 'T1059.001', 'T1057', 'T1132.001', 'T1094', 'T1105', 'T1547.001', 'T1497.001', 'T1016'"
427,"'T1037.001', 'T1112', 'T1070.004', 'T1573.001', 'T1218.011', 'T1083', 'T1129', 'T1053.005', 'T1071.002', 'T1105', 'T1564.001', 'T1082', 'T1123', 'T1036.004', 'T1120', 'T1074.001', 'T1090.003', 'T1569.002', 'T1113', 'T1115', 'T1573.002', 'T1027', 'T1020', 'T1560.003', 'T1055.004', 'T1055', 'T1010', 'T1106', 'T1543.003', 'T1119', 'T1497.001', 'T1056.001', 'T1041', 'T1012', 'T1070.006'"
428,"'T1059.003', 'T1071.001', 'T1203'"
429,"'T1070.004', 'T1204.002', 'T1059.003', 'T1053.005', 'T1105', 'T1027', 'T1140', 'T1059.001'"
430,"'T1041', 'T1082', 'T1071.001', 'T1106', 'T1053.005', 'T1113', 'T1518.001', 'T1012', 'T1105', 'T1033', 'T1059.001'"
431,"'T1083', 'T1140', 'T1055.001', 'T1531', 'T1112', 'T1489', 'T1218.011', 'T1561.001', 'T1588.003', 'T1562.001', 'T1106', 'T1059.003', 'T1497.001', 'T1134', 'T1486', 'T1490'"
432,"'T1083', 'T1518.001', 'T1218.011', 'T1112', 'T1082', 'T1543.003', 'T1027', 'T1059.003', 'T1057'"
433,"'T1567', 'T1568.002', 'T1102', 'T1572', 'T1090'"
434,"'T1005', 'T1547', 'T1105', 'T1074.001', 'T1027', 'T1102.002', 'T1106', 'T1041', 'T1567.002', 'T1016', 'T1083', 'T1059.003'"
435,"'T1071.001', 'T1574.001', 'T1102.002', 'T1008', 'T1041', 'T1020', 'T1567.002', 'T1120', 'T1074.001', 'T1053.005', 'T1560.001', 'T1005', 'T1036.004', 'T1025', 'T1119'"
436,"'T1125', 'T1105', 'T1218.011', 'T1033', 'T1016', 'T1095', 'T1059.003', 'T1021.001', 'T1070.004', 'T1083', 'T1082', 'T1070', 'T1005', 'T1546.012', 'T1041', 'T1546.011', 'T1027', 'T1027.002', 'T1057', 'T1614', 'T1547.001', 'T1140', 'T1055.001', 'T1090'"
437,"'T1027', 'T1546.015', 'T1059.001', 'T1112', 'T1106', 'T1033', 'T1059.003', 'T1016', 'T1547.001', 'T1105', 'T1047', 'T1057', 'T1518.001', 'T1573.001', 'T1070.004', 'T1218.011'"
438,"'T1547.001', 'T1105', 'T1057', 'T1553.004', 'T1094', 'T1053.005', 'T1573.001', 'T1102.001', 'T1115', 'T1497', 'T1119', 'T1120', 'T1548.002', 'T1059.003', 'T1083', 'T1036', 'T1559.002', 'T1518', 'T1033', 'T1204.002', 'T1112', 'T1070.004', 'T1071.001', 'T1568', 'T1553.002', 'T1571', 'T1082', 'T1070.009', 'T1027', 'T1124', 'T1056.001', 'T1218.011', 'T1036.004', 'T1113', 'T1106', 'T1518.001', 'T1566.001', 'T1219'"
439,"'T1036', 'T1036.005', 'T1018', 'T1059.006', 'T1027'"
440,"'T1059.004', 'T1095', 'T1055.001', 'T1123', 'T1082', 'T1056.001', 'T1094', 'T1070.006', 'T1012', 'T1571', 'T1008', 'T1218.010', 'T1070.004', 'T1057', 'T1573.001', 'T1113', 'T1083', 'T1125', 'T1033'"
441,"'T1106', 'T1497.001', 'T1033', 'T1497.003', 'T1082', 'T1573.001', 'T1105', 'T1027', 'T1057', 'T1012', 'T1573.002'"
442,"'T1090.001', 'T1573.001', 'T1105', 'T1005', 'T1071.001', 'T1059.003', 'T1574.001', 'T1014', 'T1553.004', 'T1566', 'T1553.006'"
443,"'T1112', 'T1568.002', 'T1082', 'T1547.001', 'T1070.004', 'T1555.003', 'T1218.007', 'T1071.001', 'T1059.005', 'T1105', 'T1562.001', 'T1562.004', 'T1518.001', 'T1010', 'T1189', 'T1204.002', 'T1056.001', 'T1124', 'T1548.002', 'T1033', 'T1102.001', 'T1027', 'T1057', 'T1036.005', 'T1115', 'T1176', 'T1573.002', 'T1222.001', 'T1566.002', 'T1140', 'T1102.002', 'T1547.009', 'T1497.001', 'T1204.001', 'T1185', 'T1539', 'T1016', 'T1087.003', 'T1041', 'T1106', 'T1027.001'"
444,"'T1005', 'T1105', 'T1095', 'T1573.002', 'T1140', 'T1560', 'T1033', 'T1016', 'T1571'"
445,"'T1071.001', 'T1012', 'T1027.003', 'T1105', 'T1547.001', 'T1082', 'T1027.002', 'T1016', 'T1140', 'T1518.001', 'T1070.004', 'T1497.003', 'T1033'"
446,"'T1036.005', 'T1140'"
447,"'T1543.003', 'T1105', 'T1547.001', 'T1548.002', 'T1573.001', 'T1218.011', 'T1070.004', 'T1027', 'T1574.002', 'T1059.003', 'T1071.001'"
448,"'T1105', 'T1140', 'T1071.001', 'T1480'"
449,"'T1005', 'T1560.003', 'T1036.004', 'T1074.001', 'T1543.003'"
450,"'T1140', 'T1102', 'T1012', 'T1049', 'T1218.005', 'T1016', 'T1070.004', 'T1071.001', 'T1070', 'T1053.005', 'T1218.011', 'T1027', 'T1047', 'T1059.005', 'T1112', 'T1036.005', 'T1105'"
451,"'T1140', 'T1053.005', 'T1106', 'T1012', 'T1036.004', 'T1105', 'T1082', 'T1033', 'T1057', 'T1027', 'T1518.001', 'T1566.001', 'T1005', 'T1204.002'"
452,"'T1036.005', 'T1036.004', 'T1134.001', 'T1059.003', 'T1112', 'T1564', 'T1053.005'"
453,"'T1012', 'T1082', 'T1094', 'T1070.004', 'T1095', 'T1033'"
454,"'T1014', 'T1027', 'T1547.006', 'T1071.001', 'T1005', 'T1105', 'T1090.001', 'T1070.004', 'T1041', 'T1095', 'T1140', 'T1059.004'"
455,"'T1105', 'T1074', 'T1059.003', 'T1005', 'T1008', 'T1070.004', 'T1036.005', 'T1012', 'T1497.001', 'T1029', 'T1071.004', 'T1082', 'T1041', 'T1071.001', 'T1140', 'T1568.002', 'T1027'"
456,"'T1566.002', 'T1135', 'T1562.001', 'T1547.004', 'T1087.001', 'T1087.002', 'T1027', 'T1059.001', 'T1102', 'T1104', 'T1070.004', 'T1036.007', 'T1497.003', 'T1553.002', 'T1547.001', 'T1614.001', 'T1008', 'T1059.003', 'T1055', 'T1036.004', 'T1568.002', 'T1071.001', 'T1482', 'T1053.005', 'T1005', 'T1070.009', 'T1573.001', 'T1573.002', 'T1033', 'T1106', 'T1204.001', 'T1518.001', 'T1057', 'T1518', 'T1047', 'T1027.007', 'T1497', 'T1105', 'T1140', 'T1197', 'T1012', 'T1083', 'T1055.013', 'T1016', 'T1547.009', 'T1036.005', 'T1124', 'T1055.012', 'T1027.002', 'T1082', 'T1018'"
457,"'T1059.004', 'T1070.006', 'T1056', 'T1554', 'T1016', 'T1082', 'T1573.002', 'T1140', 'T1205', 'T1090.003', 'T1070.003', 'T1048', 'T1573.001', 'T1074', 'T1027'"
458,"'T1005', 'T1113', 'T1497.001', 'T1518.001', 'T1105', 'T1082', 'T1074.001', 'T1056.001', 'T1083', 'T1071.003', 'T1071.001', 'T1547.001'"
459,"'T1560.003', 'T1070.004', 'T1140', 'T1119', 'T1040', 'T1083', 'T1074.001', 'T1049'"
460,"'T1018', 'T1087.001', 'T1105', 'T1047', 'T1059.001', 'T1016', 'T1055.001', 'T1071.001', 'T1012', 'T1059.003', 'T1033', 'T1049', 'T1057', 'T1082', 'T1007'"
461,"'T1036.005', 'T1053.005', 'T1071.003', 'T1555.003', 'T1204.002', 'T1518', 'T1036.004', 'T1041', 'T1217', 'T1560.003', 'T1083', 'T1071.001', 'T1074.001'"
462,"'T1112', 'T1010', 'T1071.004', 'T1083', 'T1082'"
463,"'T1573.001', 'T1016', 'T1082', 'T1562.004', 'T1090', 'T1001.003', 'T1112', 'T1571'"
464,"'T1543.003', 'T1059.003'"
465,"'T1543.003', 'T1105', 'T1032', 'T1036.004'"
466,"'T1056.001', 'T1057', 'T1543.003', 'T1083', 'T1120', 'T1059.003', 'T1016', 'T1070.004', 'T1074.001', 'T1571', 'T1033', 'T1095', 'T1094', 'T1573.001', 'T1124', 'T1082'"
467,"'T1082', 'T1053.005', 'T1489', 'T1021.002', 'T1614.001', 'T1134', 'T1562.001', 'T1059.003', 'T1083', 'T1057', 'T1055', 'T1222.001', 'T1486', 'T1547.001', 'T1036.005', 'T1205', 'T1078.002', 'T1016', 'T1106', 'T1036', 'T1027', 'T1490'"
468,"'T1095', 'T1005', 'T1573', 'T1070.004', 'T1033', 'T1105', 'T1083'"
